index;VFA_geq;TAN_geq;IC_geq;FOS_geq;TAC_geq;FOS_TAC;total_alcalinity;VFA_mmol;TAN_mmol;IC_mmol;pH_initial;conductivity_initial;0_1;0_2;0_3;0_4;0_5;101_0;101_1;101_2;101_3;101_4;101_5;102_0;102_1;102_2;102_3;102_4;102_5;103_0;103_1;103_2;103_3;103_4;103_5;201_pKa_acetatic/acetate;201_pKa_H2CO3/HCO3;201_pKa_HCO3/CO32;201_pKa_fb_vfa_1;201_pKa_fb_vfa_2;201_pKa_fb_nh4_1;201_pKa_fb_nh4_2;202_pKa_acetatic/acetate;202_pKa_NH4/NH3;202_pKa_unknown_pH6;202_pKa_fb_vfa_1;202_pKa_fb_vfa_2;203_pKa_acetatic/acetate;203_pKa_NH4/NH3;203_pKa_unknown_pH6;203_pKa_fb_vfa_1;203_pKa_fb_vfa_2;203_pKa_fb_nh4_1;203_pKa_fb_nh4_2;204_pKa_acetatic/acetate;204_pKa_NH4/NH3;204_pKa_unknown_pH6;204_pKa_fb_vfa_1;204_pKa_fb_vfa_2;204_pKa_fb_nh4_1;204_pKa_fb_nh4_2;301_time;301_acetatic/acetate;301_H2CO3/HCO3;301_HCO3/CO32;301_fb_vfa_1;301_fb_vfa_2;301_fb_nh4_1;301_fb_nh4_2;302_time;302_acetatic/acetate;302_NH4/NH3;303_time;303_acetatic/acetate;303_NH4/NH3;303_unknown_pH6;303_fb_vfa_1;303_fb_vfa_2;303_fb_nh4_1;303_fb_nh4_2;303_lambda_unknown_pH6;304_if_fb;503_RMSE_VFA_pka_th;503_RMSE_pH6_pka_th;503_RMSE_VFA_pH6_pka_th;503_RMSE_TAN_pka_th;503_RMSE_global_pka_th;503_diff_VFA_pka_th;503_diff_pH6_pka_th;503_diff_VFA_pH6_pka_th;503_diff_TAN_pka_th;503_diff_global_pka_th;503_RMSE_VFA_pka_exp;503_RMSE_pH6_pka_exp;503_RMSE_VFA_pH6_pka_exp;503_RMSE_TAN_pka_exp;503_RMSE_global_pka_exp;503_diff_VFA_pka_exp;503_diff_pH6_pka_exp;503_diff_VFA_pH6_pka_exp;503_diff_TAN_pka_exp;503_diff_global_pka_exp;504_distance_pka_VFA;504_distance_pka_TAN;505_VFA_CI;505_TAN_CI
Methavert_20210208_1;0.2984;1.9376;10.1628;3.7214;12.0714;0.3082;13.0175;4.9749;138.4029;203.2568;7.7062;2.3055;2021-02-08_01_SNAC111912_src.csv;SNAC111912;25/01/21;1.79;1.17;True;;;;;Noise:18.1688. Treshold: 300. s: [0.0218];True;;;;;Noise:36.3111. Treshold: 100. s: [0.0262];True;;;;;Noise:0.0058. Treshold: 100. s: 0.05;;6.63;;9.91;;;;;9.91;6.63;;;;9.68;;5.82;;;;4.81;9.79;6.63;;;;;0 days 00:01:20.562575;0.0479;0.11355;;;;;;;;;0 days 00:03:37.731256;0.00235;0.06554;0.00427;;;;;1;yes_run;0.00458;0.00172;0.0014;0.00581;0.00417;0.00202;0.00122;0.0008;0.00221;0.00165;0.00458;0.00137;0.00138;0.00586;0.00417;0.00202;0.00069;0.0008;0.00297;0.00165;155;327;;20437
Methabelair_20210208_1;1.6914;1.5671;13.4104;6.7751;15.1646;0.4467;16.8871;28.1908;111.9415;268.2094;7.9379;2.1789;2021-02-08_01_SNAC121903_src.csv;SNAC121903;25/01/21;1.75;1.25;True;;;;;Noise:10.3706. Treshold: 300. s: [0.0104];True;;;;;Noise:20.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0045. Treshold: 100. s: 0.05;;6.41;10.16;;;;;;;6.41;10.16;;;9.5;;5.9;;;;4.8;9.5;6.41;;;;;0 days 00:02:06.336777;0.01315;0.15326;;;;;;;;;0 days 00:03:24.933268;0.01287;0.05112;0.02102;;;;;1;yes_run;0.01369;0.00266;0.00233;0.01327;0.01226;0.00837;0.00083;0.00076;0.00882;0.00655;0.01369;0.00257;0.00233;0.01434;0.01226;0.00837;0.00074;0.00077;0.01;0.00655;155;59;;3687
Methavert_20210208_2;0.3282;1.7453;9.5138;3.2762;11.0704;0.2959;11.9033;5.47;124.6643;190277;8.0828;2.2532;2021-02-08_02_SNAC111912_src.csv;SNAC111912;25/01/21;1.85;1.16;True;;;;;Noise:15.0. Treshold: 300. s: [0.0099];True;;;;;Noise:23.29. Treshold: 100. s: [0.0115];True;;;;;Noise:0.0062. Treshold: 100. s: 0.05;;6.26;;9.8;;;;;9.8;6.26;;;;9.6;;5.29;;;;4.81;9.7;6.26;;;;;0 days 00:01:08.371963;0.00447;0.10285;;;;;;;;;0 days 00:02:52.826681;0.00254;0.05805;0.00391;;;;;1;yes_run;0.00381;0.00057;0.00076;0.00432;0.00346;0.00146;0.00021;0.00014;0.0011;0.00108;0.00381;0.00068;0.00068;0.00461;0.00346;0.00146;0.00032;0.00025;0.00206;0.00108;0.15;286;;17875
Methavert_20210308_1;0.3735;2.2922;13.4752;3.6227;14.4851;0.25;15.4061;6.2261;163.7299;269.5041;7.9376;1.9103;2021-03-08_01_SNAC111912_src.csv;SNAC111912;02/03/21;1.78;1.22;True;;;;;Noise:20.0. Treshold: 300. s: [0.0099];True;;;;;Noise:20.0241. Treshold: 100. s: [0.01];False;;;Shift in pH 4.2-4.5. Derivative value 0.059 higher than 0.05;;Noise:0.0127. Treshold: 100. s: 0.2;;;10.17;6.74;;;;;10.17;6.74;;;;;;4.26;;10.46;;4.81;10.17;6.74;;;;;0 days 00:02:01.976410;0.00365;0.1514;;;;;;;;;0 days 00:04:10.865216;0.00286;0.07539;0.00603;;;;;1;yes_run;0.00085;0.00166;0.00136;0.0006;0.00124;0.00018;0.00087;0.00065;0.00001;0.0003;0.00085;0.00133;0.00139;0.0006;0.00124;0.00017;0.00034;0.00072;0.00001;0.0003;0.15;341;;21312
Methavert_20210308_2;2286;1.6378;6.4669;6.2879;9.2498;0.6797;10.8485;38.1014;116.99;129.3396;8.0061;1.9345;2021-03-08_02_SNAC111912_src.csv;SNAC111912;02/03/21;1.68;1.17;True;;;;;Noise:15.0. Treshold: 300. s: [0.01];True;;;;;Noise:49.5868. Treshold: 100. s: [0.0153];True;;;;;Noise:0.0061. Treshold: 100. s: 0.2;4.72;6.69;;10.08;;;;4.72;10.08;6.69;;;4.43;;;;;2.56;;4.58;10.08;6.69;;;;;0 days 00:01:20.839981;0.03845;0.07698;;;;;;;;;0 days 00:03:01.811706;0.01927;0.05917;0.00453;;;;;1;yes_run;0.00087;0.0011;0.00138;0.00057;0.00091;0.0003;0.00053;0.00078;0.00028;0.00033;0.00086;0.00079;0.0013;0.00064;0.00091;0.0003;0.0001;0.00061;0.00034;0.00033;0.15;272;;17
Methavert_20210322_1;0.3441;1.8454;10.7928;3.4259;11.3362;0.3022;12.2072;5.7358;131.8196;215.8577;7.6245;2.0676;2021-03-22_01_SNAC111912_src.csv;SNAC111912;09/03/21;1.68;1.18;True;;;;;Noise:108.2636. Treshold: 300. s: [0.001];True;;;;;Noise:38.4447. Treshold: 100. s: [0.0364];True;;;;;Noise:0.0055. Treshold: 100. s: 0.05;;6.21;;9.81;;;;;9.81;6.21;;;5.16;9.93;;;;;;5.16;9.87;6.21;;;;;0 days 00:01:20.339670;0;0.12848;;;;;;;;;0 days 00:04:06.135401;0.00288;0.06628;0.00433;;;;;1;yes_run;0.00186;0.00059;0.00089;0.00208;0.00167;0.00052;0.00006;0.00017;0.00093;0.00038;0.00186;0.00092;0.00086;0.00215;0.00167;0.00052;0.0004;0.00022;0.00041;0.00038;0.15;281;;17562
Methavert_20210322_2;3.0862;2.0094;7.6906;7.5221;10.3845;0.7243;12.2969;51438;143.5352;153.8132;7.6099;2.1839;2021-03-22_02_SNAC111912_src.csv;SNAC111912;09/03/21;1.62;1.2;True;;;;;Noise:20.0. Treshold: 300. s: [0.0099];True;;;;;Noise:30.0. Treshold: 100. s: [0.01];True;;;;;Noise:0.0118. Treshold: 100. s: 0.2;4.51;6.58;;9.89;;;;4.51;9.89;6.58;;;;9.9;;3.43;5.21;;;4.51;9.89;6.58;;;;;0 days 00:01:48.563800;0.04494;0.09494;;;;;;;;;0 days 00:04:26.618836;0.02632;0.07344;0.00559;;;;;1;yes_run;0.00187;0.0019;0.00169;0.00186;0.0017;0.00017;0.00102;0.00081;0.0005;0.00019;0.00187;0.00137;0.00174;0.0021;0.0017;0.00017;0.00032;0.00083;-0.00003;0.00019;153;281;;17562
Methavert_20210406_1;0.2416;2.0559;10.6658;3298;12.5237;0.2633;13.3622;4.0271;146.8544;213.3177;7.6759;2.2047;2021-04-06_01_SNAC111912_src.csv;SNAC111912;24/03/21;1.92;1.18;True;;;;;Noise:15.4673. Treshold: 300. s: [0.0097];True;;;;;Noise:20.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0053. Treshold: 100. s: 0.05;;6.51;;10.06;;;;;10.06;6.51;;;;10.02;;6.08;;3.98;;4.81;10.04;6.51;;;;;0 days 00:01:34.658803;0.02863;0.1111;;;;;;;;;0 days 00:04:12.271816;0.00177;0.06474;0.00547;;;;;1;yes_run;0.00123;0.00122;1;0.0013;0.00126;0.00028;0.00059;0.00044;0.00061;0.00036;0.00123;0.00101;0.00102;0.00146;0.00126;0.00027;0.00039;0.0004;0.00025;0.00036;154;309;;19312
Methavert_20210406_2;;;12.3368;3.8201;13.0904;0.2918;14.0617;;;246.7373;7.7977;2.2472;2021-04-06_02_SNAC111912_src.csv;SNAC111912;24/03/21;1.91;1.18;True;;;;;Noise:31.5524. Treshold: 300. s: [0.0242];False;;too many pics in important section(s) of the signal;;;Noise:79.1601. Treshold: 100. s: [0.0272];False;;;Shift in pH 8.8-9.2. Derivative value 0.072 higher than 0.05;;Noise:0.0097. Treshold: 100. s: 0.2;4.72;6.15;;9.94;8.56;;;4.72;9.94;6.15;8.56;;4.96;9.86;;8.98;;8.24;;;;;;;;;0 days 00:01:34.817278;0;0.12918;;;;;;;;;;;;;;;;;;no_run;;;;;;;;;;;;;;;;;;;;;151;;;
Methavert_20210503_1;;;10.3954;3.5647;12.3634;0.2883;13.2697;;;207.9086;8.1474;2.2335;2021-05-03_01_SNAC111912_src.csv;SNAC111912;03/05/21;1.73;1.19;True;;;;;Noise:24.9391. Treshold: 300. s: [0.0394];False;;too many pics in important section(s) of the signal;;;Noise:88.6432. Treshold: 100. s: [0.0659];False;;;Shift in pH 3.3-3.8. Derivative value 0.073 higher than 0.05;;Noise:0.0137. Treshold: 100. s: 0.2;;;;;9.93;;;;9.66;5.81;8.8;9.93;;8.96;;3.51;;;;;;;;;;;0 days 00:01:06.853124;0.02737;0.12017;;;;;;;;;;;;;;;;;;no_run;;;;;;;;;;;;;;;;;;;;;157;;;
Methavert_20210517_1;0.2611;1.4754;19.2796;3.4684;12853;0.2698;13.7348;4.3518;105.3889;385.5921;7.7191;2.3103;2021-05-17_01_SNAC111912_src.csv;SNAC111912;03/05/21;1.84;1.2;True;;;;;Noise:193.22. Treshold: 300. s: [0.001];True;;;;;Noise:29.8595. Treshold: 100. s: [0.0179];False;;;Shift in pH 5.3-5.6. Derivative value 0.058 higher than 0.05;;Noise:0.0144. Treshold: 100. s: 0.2;;6.15;;9.65;;;;;9.65;6.15;;;5.19;9.24;;3.33;;4.06;;4.8;9.65;6.15;;;;;0 days 00:00:59.721336;0.04792;0.20956;;;;;;;;;0 days 00:02:59.827906;0.00196;0.04763;0.00372;;;;;1.15305;yes_run;0.00335;0.00029;0.0003;0.00295;0.00298;0.00117;0.00005;-0.00006;-0.00021;1;0.00335;0.00031;0.00036;0.0023;0.00298;0.00117;-0.00001;-0.00001;-0.00071;1;155;196;;12.25
Methavert_20210517_2;;;11.6464;3.3834;12.8078;0.2641;13668;;;232.9283;8.1108;2326;2021-05-17_02_SNAC111912_src.csv;SNAC111912;03/05/21;1.84;1.18;True;;;;;Noise:59.3796. Treshold: 300. s: [0.0955];False;;too many pics in important section(s) of the signal;;;Noise:68.6241. Treshold: 100. s: [0.014];False;;;Shift in pH 3.2-3.6. Derivative value 0.05 higher than 0.05;;Noise:0.0131. Treshold: 100. s: 0.2;;;10.52;9.97;;;;;9.24;5.49;9.97;8.49;;;;3.31;;8.74;;;;;;;;;0 days 00:01:40.020648;0.0114;0.12659;;;;;;;;;;;;;;;;;;no_run;;;;;;;;;;;;;;;;;;;;;154;;;
Biowatt_20210518_1;0.0314;4.6098;24.8347;7.0893;26.1372;0.2712;27.9396;0.5243;329.2718;496.6955;8.0728;2.2247;2021-05-18_01_SNAC111904_src.csv;SNAC111904;18/05/21;2.08;1.34;True;;;;;Noise:40.7365. Treshold: 300. s: [0.0624];True;;;;;Noise:38.9617. Treshold: 100. s: [0.0279];False;;too many pics in important section(s) of the signal;;;Noise:0.004. Treshold: 100. s: 0.05;;;;9.74;5.86;;;;9.74;5.86;;;5.05;9.11;5.54;;9.39;;9.43;4.79;9.74;5.86;;;;;0 days 00:02:05.064285;0;0.23879;;;;;;;;;0 days 00:08:38.214030;0.00018;0.11801;0.01456;;;;;8.87122;yes_run;0.00273;0.00279;0.00226;0.00301;0.00257;-0.00029;0.00048;0.00039;-0.00042;-0.00022;0.00273;0.00279;0.00226;0.00299;0.00257;-0.00029;0.00046;0.0004;-0.00036;-0.00022;0.15;-0.02;;-1.25
Biowatt_20210525_1;0;4.3369;22.2959;6.5563;25702;255;27.3688;0;309.7786;445.9185;8.1832;2.8202;2021-05-25_01_SNAC111904_src.csv;SNAC111904;25/05/21;1.99;1.33;True;;;;;Noise:26.7824. Treshold: 300. s: [0.055];True;;;;;Noise:35.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0086. Treshold: 100. s: 0.2;;;;10.02;8.6;;;;;5.82;10.02;8.6;;9.61;;7.24;;5.28;;4.8;9.61;5.82;;;;;0 days 00:02:14.536929;0;0.22407;;;;;;;;;0 days 00:07:28.378136;0;0.11644;0.01756;;;;;9.98041;yes_run;0.01015;0.00205;0.00196;0.0125;0.00934;0.0016;0.00044;0.00078;0.00107;0.00136;0.01015;0.00205;0.00196;0.01253;0.00934;0.0016;0.00044;0.00078;0.00095;0.00136;155;-8;;-0.5
Biowatt_20210528_1;0.4907;;22.7263;7.2443;24.5435;0.2951;26.3853;8.1785;;454.5277;8.0587;3.0396;2021-05-28_01_SNAC111904_src.csv;SNAC111904;25/05/21;2;1.33;True;;;;;Noise:28.9755. Treshold: 300. s: [0.0772];True;;;;;Noise:28.36. Treshold: 100. s: [0.025];False;;too many pics in important section(s) of the signal;;;Noise:0.0041. Treshold: 100. s: 0.05;;;;9.87;5.94;;;;;5.94;9.87;;4.91;9.29;5.57;;;;9.51;4.79;9.19;5.94;9.87;;;;0 days 00:02:36.379973;0;0.22726;;;;;;;;;0 days 00:09:07.676650;0.00307;;0.01739;0.1137;;;;4.92074;yes_run;0.0034;0.00102;0.00095;0.00369;0.00314;0.00022;0.00006;0.00018;0.00262;0.00015;0.0034;0.00102;0.00096;0.00374;0.00314;0.00022;0.00006;0.00017;0.00274;0.00015;154;634;;32312
Methavert_20210531_1;;;12.8807;3.5691;13.4337;0.2656;14.3411;;;257.6141;7.6779;2.1986;2021-05-31_01_SNAC111912_src.csv;SNAC111912;25/05/21;1.74;1.2;True;;;;;Noise:35.4512. Treshold: 300. s: [0.0326];False;;too many pics in important section(s) of the signal;;;Noise:110.9437. Treshold: 100. s: [0.058];True;;;;;Noise:0.0061. Treshold: 100. s: 0.05;;;10.49;9.07;9.66;;;;9.07;5.83;10.49;9.66;4.94;;;;;8.48;;;;;;;;;0 days 00:01:35.011623;0.01154;0.14805;;;;;;;;;;;;;;;;;;no_run;;;;;;;;;;;;;;;;;;;;;157;;;
Methavert_20210531_2;0.1652;1.5391;12.2283;2.8518;13.2096;0.2158;13.9346;2.7539;109.9368;244.5667;7.7435;2.2426;2021-05-31_02_SNAC111912_src.csv;SNAC111912;25/05/21;1.76;1.23;True;;;;;Noise:51.2336. Treshold: 300. s: [0.0433];True;;;;;Noise:39.6473. Treshold: 100. s: [0.0452];True;;;;;Noise:0.0102. Treshold: 100. s: 0.2;;;;9.22;5.59;;;;9.22;5.59;;;4.56;9.26;;;;;;4.56;9.24;5.59;;;;;0 days 00:01:42.046828;0;0.13895;;;;;;;;;0 days 00:04:11.676450;0.00126;0.05055;0.00205;;;;;1;yes_run;0.00259;0.00036;0.00056;0.00263;0.00253;0.00059;0.00011;0.00012;-0.00056;0.00062;0.00259;0.00036;0.00056;0.00259;0.00253;0.00059;0.00011;0.00012;-0.00065;0.00062;153;18;;1125
Biowatt_20210601_1;0;;22.1177;6.3532;24.3974;0.2604;26.0126;0;;442.3545;8.2861;2.6168;2021-06-01_01_SNAC111904_src.csv;SNAC111904;01/06/21;2.01;1.31;True;;;;;Noise:25.3987. Treshold: 300. s: [0.0444];True;;;;;Noise:26.8424. Treshold: 100. s: [0.0199];True;;;;;Noise:0.0041. Treshold: 100. s: 0.05;;;10.07;5.87;;;;;;5.87;10.07;;;;5.53;;;10.68;9.94;4.79;9.16;5.7;;;;10;0 days 00:02:00.800798;0;0.22007;;;;;;;;;0 days 00:06:06.376066;0;;0.01381;;;0.00556;;11.26713;yes_run;0.03353;0.00328;0.00274;0.03488;0.03051;0.02768;0.00107;0.00096;0.03238;0.0229;0.03352;0.00328;0.00274;0.03281;0.03051;0.02766;0.00105;0.00099;0.03027;0.0229;153;768;;36.5
Suez_MBE_20210602_1;3.2001;4.5764;19.8127;8.6592;18.5475;0.4668;20749;53.3353;326.8922;396.2543;7893;13.0018;2021-06-02_01_SNAC111903_src.csv;SNAC111903;02/06/21;1.98;1.29;True;;;;;Noise:27.2884. Treshold: 300. s: [0.0492];True;;;;;Noise:35.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0038. Treshold: 100. s: 0.05;;6.25;;9.64;4.47;;;4.47;9.64;6.25;;;4.52;9.56;;7.68;;6.99;;4.5;9.6;6.25;;;;;0 days 00:01:53.805481;0;0.20012;;;;;;;;;0 days 00:06:42.190838;0.02085;0.12783;0.00585;;;;;5.3891;yes_run;0.00297;0.00052;0.00101;0.00331;0.00285;-0.00069;-0.00001;-0.00045;0.00005;-0.00042;0.00297;0.0005;0.00092;0.00329;0.00285;-0.00069;0.00004;-0.00039;0.00005;-0.00042;151;-66;;-4125
Biowatt_20210610_1;0;3.7584;22.1977;7.0026;25.1707;0.2782;26951;0;268.4599;443.9557;8.0656;2.1395;2021-06-10_01_SNAC111904_src.csv;SNAC111904;08/06/21;1.99;1.34;True;;;;;Noise:15.0. Treshold: 300. s: [0.01];True;;;;;Noise:35.3118. Treshold: 100. s: [0.0436];True;;;;;Noise:0.0095. Treshold: 100. s: 0.2;;;;9.82;5.91;;;;;5.91;9.82;;;9.55;;9.84;;10.17;;4.79;9.55;5.91;;;;;0 days 00:02:07.034734;0;0.22309;;;;;;;;;0 days 00:05:54.382365;0;0.09994;0.0172;;;;;4.52775;yes_run;0.00885;0.00178;0.00161;0.00988;0.00809;0.00273;0.00008;0.00022;0.00389;0.00248;0.00885;0.00178;0.0016;0.00985;0.00809;0.00273;0.00009;0.00022;0.00373;0.00248;154;-16;;-1
Methabelair_20210614_1;;;15.4562;9.5047;18.0826;0.5256;20.4991;;;309.1243;7.8444;2367;2021-06-14_01_SNAC121903_src.csv;SNAC121903;14/06/21;2.1;1.26;True;;;;;Noise:27.0107. Treshold: 300. s: [0.043];False;;;;;Noise:785.3829. Treshold: 100. s: [0.0001];True;;;;;Noise:0.0039. Treshold: 100. s: 0.05;4.65;6.37;10.47;9.62;;;;4.65;9.17;6.37;9.33;6.48;;9.08;;5.95;;;;;;;;;;;0 days 00:01:36.922580;0.01661;0.1472;;;;;;;;;;;;;;;;;;no_run;;;;;;;;;;;;;;;;;;;;;154;;;
Biowatt_20210616_1;0;;23.8244;6.2317;24.6023;0.2532;26.1866;0;;476489;8.1796;2443;2021-06-16_01_SNAC111904_src.csv;SNAC111904;16/06/21;2.01;1.32;True;;;;;Noise:27.7109. Treshold: 300. s: [0.0235];True;;;;;Noise:32.6103. Treshold: 100. s: [0.0149];True;;;;;Noise:0.0042. Treshold: 100. s: 0.05;;;;9.79;5.78;;;;;5.78;9.79;;;;5.31;7.83;;9.81;;4.79;9.15;5.54;;;9.8;;0 days 00:02:11.545562;0;0.23705;;;;;;;;;0 days 00:07:04.597170;0;;0.01086;;;0.10267;;8.64348;yes_run;0.00426;0.0089;0.00733;0.00317;0.00402;0.00264;0.00576;0.00425;0.00298;0.0022;0.00425;0.00877;0.00733;0.00323;0.00402;0.00263;0.00539;0.00427;0.00304;0.0022;152;564;;30125
Suez_MBE_20210622_1;3.9319;4.9821;18.6844;11.0096;19.0029;0.5793;21802;65.5324;355.8672;373.6884;7.9041;0.5368;2021-06-22_01_SNAC111903_src.csv;SNAC111903;17/06/21;2;1.29;True;;;;;Noise:30.0001. Treshold: 300. s: [0.0099];True;;;;;Noise:35.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.008. Treshold: 100. s: 0.2;4.53;6.28;;9.63;;;;4.53;9.63;6.28;;;4.45;9.53;;7.76;;6.79;;4.49;9.58;6.28;;;;;0 days 00:01:51.622194;0.01188;0.18684;;;;;;;;;0 days 00:08:19.791464;0.02524;0.13708;0.00552;;;;;7.27446;yes_run;0.00533;0.00078;0.00114;0.00596;0.00483;-0.00057;0.00024;-0.00014;0.00087;-0.00035;0.00533;0.00078;0.00116;0.00594;0.00483;-0.00057;0.00022;-0.00015;0.00089;-0.00035;151;15;;937
Biowatt_20210622_1;0;4.4879;24.3629;6.4643;24.6908;0.2618;26.3343;0;320.5682;487.2586;8.1823;2.3568;2021-06-22_01_SNAC111904_src.csv;SNAC111904;16/06/21;2.01;1.33;True;;;;;Noise:25.0. Treshold: 300. s: [0.0099];True;;;;;Noise:31.8905. Treshold: 100. s: [0.0064];True;;;;;Noise:0.0042. Treshold: 100. s: 0.05;;;;9.97;5.98;;;;;5.98;9.97;;;9.91;5.54;7.53;3.75;;;4.8;9.91;5.76;;;;;0 days 00:02:10.406415;0;0.24241;;;;;;;;;0 days 00:08:43.958594;0;0.11979;0.01365;;;;;5.43838;yes_run;0.00399;0.00568;0.00487;0.00391;0.00378;1;0.00201;0.0022;0.00053;0.00083;0.00399;0.00582;0.00487;0.00403;0.00378;1;0.00233;0.00219;0.00083;0.00083;152;94;;5875
Furania_20210622_1;0.0168;1.1028;3.4598;2.8992;5.3445;0.5424;6.0816;0.2805;78.7738;69.1972;7.5194;0.7178;2021-06-22_01_SNAC111910_src.csv;SNAC111910;11/06/21;1.79;1.13;True;;;;;Noise:15.0. Treshold: 300. s: [0.01];True;;;;;Noise:45.5236. Treshold: 100. s: [0.0161];True;;;;;Noise:0.0054. Treshold: 100. s: 0.05;;;;9.4;5.9;;;;9.4;5.9;;;;9.55;;7.27;;;;4.79;9.47;5.9;;;;;0 days 00:00:40.650184;0.00164;0.03865;;;;;;;;;0 days 00:02:32.937743;0.00013;0.03878;0.00898;;;;;4.51058;yes_run;0.00116;0.00044;0.0004;0.00077;0.00243;0.00031;-0.00003;0;0.0003;0.00088;0.00116;0.00044;0.0004;0.00073;0.00243;0.00031;-0.00003;0.00001;0.00026;0.00088;153;-31;;-1937
Methavert_20210628_1;0.3634;1.5331;11.8742;3.2793;12.7611;0.2569;13.5949;6.0573;109.5091;237.4845;7.7674;2.0483;2021-06-28_01_SNAC111912_src.csv;SNAC111912;14/06/21;1.67;1.2;True;;;;;Noise:26.2289. Treshold: 300. s: [0.0121];True;;;;;Noise:38.936. Treshold: 100. s: [0.018];True;;;;;Noise:0.013. Treshold: 100. s: 0.2;;6.37;;9.45;;;;;9.45;6.37;;;5.1;9.03;;;;;;5.1;9.24;6.37;;;;;0 days 00:01:23.715090;0.00802;0.1422;;;;;;;;;0 days 00:03:46.213443;3;0.05433;0.00196;;;;;1.02061;yes_run;0.00374;0.00051;0.00078;0.0041;0.00335;0.00113;0.00008;-0.00032;0.0005;0.00094;0.00374;0.00051;0.00078;0.0041;0.00335;0.00113;0.00008;-0.00032;0.00052;0.00094;0.15;2;;125
Biowatt_20210629_1;0;4.4321;22.3079;6.4924;24.2378;0.2678;25.8884;0;316583;446.1586;8.3766;2.6723;2021-06-29_01_SNAC111904_src.csv;SNAC111904;29/06/21;1.99;1.31;True;;;;;Noise:30.4855. Treshold: 300. s: [0.0369];True;;;;;Noise:20.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0086. Treshold: 100. s: 0.2;;;10.21;5.91;;;;;;5.91;10.21;;;9.89;;7.43;;5.37;;4.8;9.89;5.91;;;;;0 days 00:02:42.341318;0;0.2242;;;;;;;;;0 days 00:07:26.272459;0;0.12075;0.01865;;;;;7.33568;yes_run;0.01098;0.00199;0.00204;0.01268;0.0101;-0.00008;-0.00017;0.00056;-0.00183;0;0.01099;0.00209;0.00204;0.01296;0.0101;-0.00008;-0.00006;0.00053;-0.00065;0;152;71;;4437
Biowatt_20210702_1;0;3851;23.8113;7.1063;25.4068;0.2797;27.2135;0;275.0716;476.2273;8.2752;1.9886;2021-07-02_01_SNAC111904_src.csv;SNAC111904;29/06/21;2;1.32;True;;;;;Noise:18.8323. Treshold: 300. s: [0.0122];True;;;;;Noise:20.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0083. Treshold: 100. s: 0.2;;;10.26;5.94;;;;;;5.94;10.26;;;;;;;9.88;5.31;4.8;;5.94;;;;;0 days 00:02:16.038128;0;0.23811;;;;;;;;;0 days 00:07:11.759193;0;0.10347;0.01714;;;;;7.31013;yes_run;0.02558;0.00127;0.00137;nan;0.02349;0.00902;-0.00027;0;nan;0.0076;0.02559;0.00127;0.00141;nan;0.02349;0.00903;-0.00026;-0.00004;nan;0.0076;156;;;
Methavert_20210705_1;554;1.6444;11.7951;2.8008;12.0906;0.2316;12.8027;9.2335;117.4582;235.9039;7.7695;2.1982;2021-07-05_01_SNAC111912_src.csv;SNAC111912;05/07/21;1.6;1.2;True;;;;;Noise:20.0. Treshold: 300. s: [0.01];True;;;;;Noise:44.0746. Treshold: 100. s: [0.0161];True;;;;;Noise:0.0058. Treshold: 100. s: 0.05;;;;9.63;8;;;;9.63;;8;6.73;;9.45;;5.48;;;;4.8;9.54;5.96;;;;;0 days 00:01:25.890433;0.00518;0.14743;;;;;;;;;0 days 00:03:28.001841;0.00479;0.06093;0.00403;;;;;1.00469;yes_run;0.00384;0.00166;0.00204;0.00285;0.0036;0.00174;0.00048;1;0.00029;0.00173;0.00384;0.00191;0.00204;0.0032;0.0036;0.00174;0.00068;0.00099;0.0006;0.00173;154;67;;4187
Biowatt_20210706_1;0;4.1886;24.2908;6.4884;26.1445;0.2481;27.7941;0;299.1921;485.8167;8.3413;2.1688;2021-07-06_01_SNAC111904_src.csv;SNAC111904;06/07/21;2.01;1.35;True;;;;;Noise:15.0. Treshold: 300. s: [0.0099];True;;;;;Noise:20.0. Treshold: 100. s: [0.0099];True;;;;;Noise:0.0083. Treshold: 100. s: 0.2;;;10.28;6.01;;;;;;6.01;10.28;;;9.82;5.49;10.09;;10.26;;4.8;9.82;5.75;;;;;0 days 00:02:32.463800;0;0.24169;;;;;;;;;0 days 00:06:21.224661;0;0.10976;0.01661;;;;;9.23256;yes_run;0.01197;0.00598;0.00511;0.01329;0.01099;0.00106;0.00195;0.00212;-0.00119;0.00103;0.01197;0.00604;0.00511;0.01349;0.01099;0.00106;0.00209;0.00211;-0.00042;0.00103;166;39;;2437
