"name","VFA_geq","TAN_geq","IC_geq","FOS_geq","TAC_geq","FOS_TAC","total_alcalinity","VFA_mmol","TAN_mmol","IC_mmol","pH_initial","conductivity_initial","0_1","0_2","0_3","101_0","101_1","101_2","101_3","101_4","101_5","102_0","102_1","102_2","102_3","102_4","102_5","103_0","103_1","103_2","103_3","103_4","103_5","201_pKa_acetatic/acetate","201_pKa_H2CO3/HCO3","201_pKa_HCO3/CO32","201_pKa_fb_vfa_1","201_pKa_fb_vfa_2","201_pKa_fb_nh4_1","201_pKa_fb_nh4_2","202_pKa_acetatic/acetate","202_pKa_NH4/NH3","202_pKa_unknown_pH6","202_pKa_fb_vfa_1","202_pKa_fb_vfa_2","203_pKa_acetatic/acetate","203_pKa_NH4/NH3","203_pKa_unknown_pH6","203_pKa_fb_vfa_1","203_pKa_fb_vfa_2","203_pKa_fb_nh4_1","203_pKa_fb_nh4_2","204_pKa_acetatic/acetate","204_pKa_NH4/NH3","204_pKa_unknown_pH6","204_pKa_fb_vfa_1","204_pKa_fb_vfa_2","204_pKa_fb_nh4_1","204_pKa_fb_nh4_2","301_time","301_acetatic/acetate","301_H2CO3/HCO3","301_HCO3/CO32","301_fb_vfa_1","301_fb_vfa_2","301_fb_nh4_1","301_fb_nh4_2","302_time","302_acetatic/acetate","302_NH4/NH3","303_time","303_acetatic/acetate","303_NH4/NH3","303_unknown_pH6","303_fb_vfa_1","303_fb_vfa_2","303_fb_nh4_1","303_fb_nh4_2","303_lambda_unknown_pH6","304_if_fb","401_1","402_1","501_coef","501_R2","502_RMSE","503_error_VFA","503_error_pH6","503_error_VFA_pH6","503_error_TAN","503_error_global","504_distance_pka_VFA","504_distance_pka_TAN"
"Limovents_20200915_1",0.403100082322783,,18.8033712323356,5.6939198175962,19.6423616445344,0.289879593942848,21.0899683778215,6.71833470537972,,376.067424646711,7.9929,1.4867624,"SNAC121907","15/09/20",1.58,"True",,,,,"Noise:15.3307. Treshold: 300. s: [0.0175]","True",,,,,"Noise:25.0. Treshold: 100. s: [0.01]","True",,,,,"Noise:0.0045. Treshold: 100. s: 0.05",,,,6.61,,,,,,5.81,9.58,,,9.29,5.5,3.58,7.39,,,4.79,8.98,5.81,9.58,,,,"0 days 00:03:01.352309",0,0.23801,,,,,,,,,"0 days 00:12:30.817136",0.00316,,0.01953,0.08972,,,,15,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00322,0.00046,0.00195,0.00156,0.00159,0.00158,0.15,0.343
"Medoc_20200921_3",1.93312668846103,2.20231513857523,9.24635764380566,5.93743307869192,10.6730491231102,0.55630148518999,12.1825660075234,32.2187781410171,157.308224183945,184.927152876113,7.4881,1.69653904,"SNAC121904","07/09/20",1.99,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:20.0. Treshold: 100. s: [0.01]","False",,,,"Calibration lost: strictly positive for pH>8. Please control it","Noise:0.0136. Treshold: 100. s: 0.2",,6.18,,,,,,4.55,9.62,,,,,,,8.96,5.46,,,4.55,9.62,5.92,,,,,"0 days 00:02:02.411431",0.00821,0.09292,,,,,,,,,"0 days 00:07:38.474715",0.01391,0.06793,0.00203,,,,,1,"yes_run",,,,,0.00566,0.00017,0.00045,0.00032,0.00125,0.00103,0.151,0.028
"Ensaia_20200922_1",0.589173333727953,,9.72022825905563,9.58490424996313,13.6093291953986,0.704289249848102,16.0461692589485,9.81955556213256,,194.404565181113,7.7965,1.21052464,"SNAC111901","09/09/20",1.44,"True",,,,,"Noise:19.3012. Treshold: 300. s: [0.0228]","True",,,,,"Noise:57.978. Treshold: 100. s: [0.0527]","False",,"too many pics in important section(s) of the signal",,"Calibration lost: very low variations. Please control it","Noise:0.0014. Treshold: 100. s: 0.005",,6.27,,,,,,,,,3.7,9.92,4.42,,,,,,4.95,4.8,9.27,5.94,3.7,9.92,,,"0 days 00:02:34.944328",0.03256,0.135,,,,,,,,,"0 days 00:12:53.982301",0.00528,,0.00198,0.01045,0.01682,,,14.99999,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00135,0.00062,0.00078,0.00069,0.00106,0.00108,1.147,0.681
"MethabelAir_20200922_1",13.1557326098917,2.46729624130263,5.471686370687,24.3089905060407,12.2001793155625,1.99251091949379,18.3804311391322,219.262210164862,176.235445807331,109.43372741374,7.3645,1.97068032,"SNAC121903","22/09/20",1.78,"True",,,,,"Noise:10.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:60.9047. Treshold: 100. s: [0.0303]","False",,"too many pics in important section(s) of the signal","Shift in pH 4.57-4.59. Derivative value 0.105 higher than 0.1",,"Noise:0.0042. Treshold: 100. s: 0.05",4.65,,,,,,,4.42,9.46,,6.5,,4.53,,,4.15,,9.63,,4.42,9.46,5.86,6.5,,,,"0 days 00:02:11.861961",0.12503,0.06147,,,,,,,,,"0 days 00:15:59.222494",0.09388,0.07546,0.00893,0.01489,,,,14.81491,"yes_run",,,,,0.0038,0.00523,0.00402,0.00491,0.00514,0.00579,1.147,-0.038
"Limovents_20200929_1",0.414551268177408,,16.2683106718034,5.46286397115402,17.305816912583,0.315666344949136,18.6946806340629,6.90918780295679,,325.366213436067,7.9623,1.2372116,"SNAC121907","15/09/20",1.62,"True",,,,,"Noise:16.5548. Treshold: 300. s: [0.0185]","True",,,,,"Noise:27.0975. Treshold: 100. s: [0.0147]","False",,,"Shift in pH 5.4-5.7. Derivative value 0.453 higher than 0.05",,"Noise:0.0099. Treshold: 100. s: 0.2",,6.44,,,,,,,,5.98,9.61,,4.43,,5.96,5.66,,3.52,,4.79,9.08,5.98,9.61,,,,"0 days 00:03:06.220070",0,0.20084,,,,,,,,,"0 days 00:10:55.989161",0.00328,,0.01712,0.08176,,,,2.75448,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.01342,0.00124,0.00114,0.00118,0.00082,0.001,0.153,0.374
"Biowatt_20201027_1",1.54405341962117,,24.071857688658,9.16125851181776,25.7882883364043,0.355248801018142,28.1174218563579,25.7342236603529,,481.43715377316,8.1057,3.48412992,"SNAC111904","27/10/20",2,"True",,,,,"Noise:29.5978. Treshold: 300. s: [0.087]","True",,,,,"Noise:41.1543. Treshold: 100. s: [0.045]","True",,,,,"Noise:0.0035. Treshold: 100. s: 0.05",,6.48,,7.65,,,,,,5.92,9.85,,,,5.73,7.28,,9.8,,4.8,9.37,5.92,9.85,,,,"0 days 00:05:32.893387",0.01184,0.24071,,,,,,,,,"0 days 00:13:56.148736",0.00942,,0.01819,0.12478,,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00327,0.00074,0.00098,0.00089,0.0064,0.00543,0.15,0.619
"Limovents_20201027_1",0.575578038357118,,10.6017021519321,4.99060081582065,12.1494143640564,0.410768837598061,13.418211181638,9.59296730595197,,212.034043038643,7.7289,1.51511856,"SNAC121907","27/10/20",1.51,"True",,,,,"Noise:20.9064. Treshold: 300. s: [0.022]","True",,,,,"Noise:28.2297. Treshold: 100. s: [0.0154]","True",,,,,"Noise:0.0054. Treshold: 100. s: 0.05",,6.16,,,,,,,,6.1,10.01,,,,6.49,,,8.29,9.94,4.8,9.32,6.1,10.01,,,,"0 days 00:02:19.404540",0,0.14041,,,,,,,,,"0 days 00:09:09.124406",0.00514,,0.01663,0.0722,,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.0042,0.00101,0.00168,0.00147,0.00251,0.00217,0.152,0.773
"MethabelAir_20201102_1",4.67592418864065,,10.5261504735484,11.2704308006044,14.2477899406647,0.791030106952758,17.1131537035302,77.9320698106775,,210.523009470969,7.6991,2.14189408,"SNAC121903","23/10/20",1.83,"True",,,,,"Noise:59.0012. Treshold: 300. s: [0.0272]","True",,,,,"Noise:35.0. Treshold: 100. s: [0.0099]","True",,,,,"Noise:0.0052. Treshold: 100. s: 0.05",4.89,6.28,,,,,,4.59,,,9.73,6.45,,,,4.23,,9.82,,4.59,9.19,5.85,9.73,6.45,,,"0 days 00:01:52.798401",0.03544,0.11503,,,,,,,,,"0 days 00:10:29.809276",0.03414,,0,0.07996,0.0051,,,10.46934,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00271,0.00069,0.00091,0.00078,0.00487,0.00353,0.153,0.497
"Biowatt_20201103_1",0.885221726184914,,11.5480232266861,4.6427982610493,12.3569909566878,0.375722396926781,13.5373633959377,14.7536954364152,,230.960464533722,8.1447,3.37416448,"SNAC111904","03/11/20",0.99,"True",,,,,"Noise:40.0414. Treshold: 300. s: [0.0713]","True",,,,,"Noise:40.2411. Treshold: 100. s: [0.0058]","True",,,,,"Noise:0.0034. Treshold: 100. s: 0.05",,6.35,,,,,,4.56,,5.92,9.85,,,9.69,5.56,7.39,3.55,,,4.56,9.37,5.92,9.85,,,,"0 days 00:04:01.555472",0,0.23096,,,,,,,,,"0 days 00:14:52.464962",0.01094,,0.01736,0.12101,,,,15,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00265,0.00043,0.00179,0.0014,0.00397,0.00384,0.153,0.619
"MethabelAir_20201109_2",2.38612648003495,3.00108456715162,12.7311519850431,8.14284669300223,15.7266949042067,0.517772280991101,17.7969101651395,39.7687746672492,214.363183367973,254.623039700861,7.7983,2.17305824,"SNAC121903","08/11/20",2.04,"True",,,,,"Noise:40.4919. Treshold: 300. s: [0.0828]","True",,,,,"Noise:42.3667. Treshold: 100. s: [0.0124]","True",,,,,"Noise:0.0059. Treshold: 100. s: 0.05",,6.41,,,,,,4.54,9.74,6.63,,,,9.62,,10.02,,10.31,,4.54,9.74,6.63,,,,,"0 days 00:02:12.759021",0.02992,0.12481,,,,,,,,,"0 days 00:07:17.558810",0.01594,0.08593,0.00393,,,,,1.72927,"yes_run",,,,,0.00414,0.00037,0.0004,0.00038,0.0035,0.00282,0.157,0.144
"MethabelAir_20201124_1",4.95450022144103,2.27554302364158,8.02700800833689,11.7265350727384,11.3269969890458,1.03527308112459,14.3083194651657,82.5750036906839,162.53878740297,160.540160166738,7.3785,1.90014512,"SNAC121903","23/11/20",2.05,"True",,,,,"Noise:36.8784. Treshold: 300. s: [0.0182]","True",,,,,"Noise:58.7666. Treshold: 100. s: [0.0291]","False",,,,,"Too many outliers",4.58,6.47,,5.94,,,,4.52,9.27,,9.77,,4.44,,,2.55,,9.88,,4.52,9.27,6.01,,,,,"0 days 00:01:31.344035",0.05156,0.07831,,,,,,,,,"0 days 00:05:59.444322",0.03367,0.06628,0.00101,,,,,1,"yes_run",,"fb_nh4 close to pka_nh4 has been found. We decide to do not take into account the fb",,,0.0044,0.00113,0.00073,0.00101,0.00938,0.00692,0.156,0.107
"Biowatt_20201201_1",0.796699667186335,,21.2554885531493,9.5949419408487,24.1264659948913,0.397693634155969,26.5658580137511,13.2783277864389,,425.109771062985,8.1939,2.5482984,"SNAC111904","01/12/20",2.02,"True",,,,,"Noise:29.8958. Treshold: 300. s: [0.0152]","True",,,,,"Noise:35.0. Treshold: 100. s: [0.0099]","False",,"too many pics in important section(s) of the signal",,,"Noise:0.0091. Treshold: 100. s: 0.2",,6.3,,,,,,,,6.11,9.79,4.39,,9.43,5.79,9.64,,9.88,,4.8,9.38,6.11,9.79,4.39,,,"0 days 00:03:06.313827",0,0.21045,,,,,,,,,"0 days 00:20:05.057267",0.00491,,0.01421,0.10622,0.00444,,,11.41629,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00587,0.00053,0.00078,0.00069,0.00325,0.00309,0.152,0.554
"MethabelAir_20210201_1",2.39643157996329,,11.4751659400439,9.85151716630303,14.5054567306576,0.67915939147794,17.0100797390398,39.9405263327215,,229.503318800878,7.9037,2.295,"SNAC121903","25/01/21",1.88,"True",,,,,"Noise:25.166. Treshold: 300. s: [0.0317]","True",,,,,"Noise:30.0. Treshold: 100. s: [0.0099]","True",,,,,"Noise:0.004. Treshold: 100. s: 0.05",,6.31,,,,,,4.61,,6.48,10.13,,4.81,,,,,9.62,,4.61,9.22,6.48,10.13,,,,"0 days 00:02:11.161496",0.02795,0.12207,,,,,,,,,"0 days 00:09:15.813637",0.01705,,0.01751,0.08657,,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00266,0.00183,0.00394,0.00321,0.00377,0.00338,0.155,0.893
"Methavert_20210208_1",0.25651165092464,2.14436091036919,11.1382604423216,3.72146505645017,12.0714208798208,0.308287242529267,13.017556063664,4.27519418207733,153.168636454942,222.765208846432,7.7062,2.30554544,"SNAC111912","25/01/21",1.79,"True",,,,,"Noise:18.1688. Treshold: 300. s: [0.0218]","True",,,,,"Noise:36.3111. Treshold: 100. s: [0.0262]","True",,,,,"Noise:0.0058. Treshold: 100. s: 0.05",,6.15,,,,,,,9.91,6.63,,,,9.68,,5.82,,,,4.81,9.91,6.63,,,,,"0 days 00:02:04.106586",0,0.12444,,,,,,,,,"0 days 00:06:51.600833",0.00202,0.07253,0.00491,,,,,14.83749,"yes_run",,,,,0.00405,0.00087,0.00173,0.00144,0.0026,0.00212,0.155,0.328
"MethabelAir_20210208_1",1.49980269434486,,13.351244580261,6.77512783018195,15.1646368052012,0.446771519635617,16.8871269315187,24.9967115724144,,267.02489160522,7.9379,2.17893872,"SNAC121903","25/01/21",1.75,"True",,,,,"Noise:10.3706. Treshold: 300. s: [0.0104]","True",,,,,"Noise:20.0. Treshold: 100. s: [0.0099]","True",,,,,"Noise:0.0045. Treshold: 100. s: 0.05",,6.44,,,,,,,,6.41,10.16,,,9.5,,5.9,,,,4.8,9.29,6.41,10.16,,,,"0 days 00:03:08.241882",0.01703,0.15258,,,,,,,,,"0 days 00:11:32.726161",0.01141,,0.02091,0.08322,,,,7.15036,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00207,0.00146,0.00289,0.00245,0.00409,0.00325,0.155,0.92
"Methavert_20210208_2",0.095556966057875,1.88089359311987,9.69586104019917,3.29717410240034,11.0709711531017,0.29782157832437,11.9092357554069,1.59261610096458,134.349542365705,193.917220803983,8.0828,2.25320464,"SNAC111912","25/01/21",1.85,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:23.29. Treshold: 100. s: [0.0115]","True",,,,,"Noise:0.0062. Treshold: 100. s: 0.05",,6.18,,,,,,,9.8,6.26,,,,9.6,,5.29,,,,4.81,9.8,6.26,,,,,"0 days 00:01:50.413135",0,0.10482,,,,,,,,,"0 days 00:06:37.292051",0.00074,0.06256,0.00426,,,,,1,"yes_run",,,,,0.00475,0.00055,0.00082,0.00072,0.00192,0.00158,0.15,0.288
"Methavert_20210308_1",0.373912459924957,,13.4392600977889,3.58578774143719,14.4883356401905,0.247494800678848,15.3999765914033,6.23187433208263,,268.785201955779,7.9376,1.91036048,"SNAC111912","02/03/21",1.78,"True",,,,,"Noise:20.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:20.0241. Treshold: 100. s: [0.01]","False",,,"Shift in pH 4.2-4.5. Derivative value 0.059 higher than 0.05",,"Noise:0.0127. Treshold: 100. s: 0.2",,6.31,,,,,,,,6.74,10.17,,,,,4.26,,10.46,,4.81,9.57,6.74,10.17,,,,"0 days 00:02:57.600502",0,0.151,,,,,,,,,"0 days 00:07:31.112739",0.00286,,0.00605,0.07725,,,,15,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.01238,0.00065,0.00174,0.00139,0.00095,0.00149,0.15,0.931
"Methavert_20210308_2",2.37653823504082,,6.78281337999617,6.28791842091028,9.24989874357866,0.679782405756106,10.8485220709287,39.6089705840136,,135.656267599923,8.0061,1.9345264,"SNAC111912","02/03/21",1.68,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.01]","True",,,,,"Noise:49.5868. Treshold: 100. s: [0.0153]","True",,,,,"Noise:0.0061. Treshold: 100. s: 0.2",,6.21,,,,,,4.72,,6.69,10.08,,4.43,,,,,2.56,,4.72,9.5,6.69,10.08,,,,"0 days 00:01:28.348262",0.01834,0.08074,,,,,,,,,"0 days 00:08:33.255502",0.02003,,0.00429,0.06123,,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00583,0.00028,0.00075,0.00053,0.00057,0.00066,0.15,0.85
"Methavert_20210322_1",0.116632597801428,1.89327553708703,10.3833794395546,3.39847730816962,11.3416375682425,0.299646086177682,12.2056572228619,1.9438766300238,135.233966934788,207.667588791092,7.6245,2.0676144,"SNAC111912","09/03/21",1.68,"True",,,,,"Noise:108.2636. Treshold: 300. s: [0.001]","True",,,,,"Noise:38.4447. Treshold: 100. s: [0.0364]","True",,,,,"Noise:0.0055. Treshold: 100. s: 0.05",,6.33,,6.01,,,,,9.81,6.21,,,5.16,,,,,9.93,,4.81,9.81,6.21,,,,,"0 days 00:02:32.916133",0.01608,0.12361,,,,,,,,,"0 days 00:07:33.226109",0.00097,0.068,0.00513,,,,,1,"yes_run",,,,,0.0029,0.0005,0.00103,0.00086,0.00187,0.00149,0.15,0.28
"Methavert_20210322_2",3.14373358741671,2.01848501606078,8.05157199904883,7.55324146960862,10.3850690583139,0.727317404168997,12.3053846861805,52.3955597902784,144.177501147199,161.031439980977,7.6099,2.18394192,"SNAC111912","09/03/21",1.62,"True",,,,,"Noise:20.0. Treshold: 300. s: [0.0099]","True",,,,,"Noise:30.0. Treshold: 100. s: [0.01]","True",,,,,"Noise:0.0118. Treshold: 100. s: 0.2",4.52,6.16,,,,,,4.51,9.89,6.58,,,,9.9,,3.43,5.21,,,4.51,9.89,6.58,,,,,"0 days 00:01:57.076769",0.02651,0.0994,,,,,,,,,"0 days 00:07:29.099257",0.02681,0.07377,0.00559,,,,,8.66044,"yes_run",,,,,0.01019,0.00103,0.00196,0.00149,0.00176,0.00166,0.153,0.281
"Methavert_20210406_1",0.254646022190859,,11.2845531165705,3.29808471639392,12.5237496390452,0.263346426705265,13.3622457533827,4.24410036984766,,225.691062331411,7.6759,2.2047896,"SNAC111912","24/03/21",1.92,"True",,,,,"Noise:15.4673. Treshold: 300. s: [0.0097]","True",,,,,"Noise:20.0. Treshold: 100. s: [0.0099]","True",,,,,"Noise:0.0053. Treshold: 100. s: 0.05",,6.23,,4.4,,,,,,6.51,10.06,,,,,6.08,,10.02,,4.81,9.54,6.51,10.06,,,,"0 days 00:02:21.036915",0,0.11754,,,,,,,,,"0 days 00:06:29.971795",0.00187,,0.00553,0.06687,,,,15,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00319,0.00058,0.00119,0.00099,0.002,0.002,0.154,0.822
"Methavert_20210406_2",,,12.2590168121957,3.7508445628922,13.1021453336354,0.286277129995128,14.0557498835232,,,245.180336243914,7.7977,2.24724672,"SNAC111912","24/03/21",1.91,"True",,,,,"Noise:31.5524. Treshold: 300. s: [0.0242]","False",,"too many pics in important section(s) of the signal",,,"Noise:79.1601. Treshold: 100. s: [0.0272]","False",,,"Shift in pH 8.8-9.2. Derivative value 0.072 higher than 0.05",,"Noise:0.0097. Treshold: 100. s: 0.2",,6.25,,,,,,4.72,,6.15,9.94,8.56,4.96,,,8.98,,9.86,,,,,,,,,"0 days 00:02:04.314605",0,0.12836,,,,,,,,,,,,,,,,,,"no_run",,,,,0.0096,,,,,,0.151,
"Methavert_20210419_1",0.667748939505686,,10.3907128758801,3.91397089544648,11.0121692519571,0.355422333774146,12.007246598257,11.1291489917614,,207.814257517602,7.5637,2.17704864,"SNAC111912","12/04/21",1.65,"True",,,,,"Noise:35.1486. Treshold: 300. s: [0.0042]","True",,,,,"Noise:25.1422. Treshold: 100. s: [0.011]","True",,,,,"Noise:0.0121. Treshold: 100. s: 0.2",,6.22,,,,,,,,6.49,9.95,,,9.61,,2.55,5.74,,,4.8,9.44,6.49,9.95,,,,"0 days 00:02:27.772348",0,0.12594,,,,,,,,,"0 days 00:06:57.294988",0.00566,,0.00518,0.06424,,,,15,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00927,0.00051,0.0012,0.00095,0.00197,0.00183,0.155,0.71
"Methavert_20210503_1",,,11.0161248940174,3.56479059111645,12.363406664891,0.288334007587049,13.2697093575477,,,220.322497880347,8.1474,2.23356224,"SNAC111912","03/05/21",1.73,"True",,,,,"Noise:24.9391. Treshold: 300. s: [0.0394]","False",,"too many pics in important section(s) of the signal",,,"Noise:88.6432. Treshold: 100. s: [0.0659]","False",,,"Shift in pH 3.3-3.8. Derivative value 0.073 higher than 0.05",,"Noise:0.0137. Treshold: 100. s: 0.2",,6.11,,,,,,,9.66,5.81,,9.93,,,,3.51,,8.96,,,,,,,,,"0 days 00:02:01.769443",0,0.12735,,,,,,,,,,,,,,,,,,"no_run",,,,,0.01036,,,,,,0.157,
"Methavert_20210517_1",0.261183844934487,1.47545615509852,19.2796073808586,3.4684475316717,12.8530715872391,0.269853591659388,13.7348802817319,4.35306408224144,105.38972536418,385.592147617172,7.7191,2.31034224,"SNAC111912","03/05/21",1.84,"True",,,,,"Noise:193.22. Treshold: 300. s: [0.001]","True",,,,,"Noise:29.8595. Treshold: 100. s: [0.0179]","False",,,"Shift in pH 5.3-5.6. Derivative value 0.058 higher than 0.05",,"Noise:0.0144. Treshold: 100. s: 0.2",4.57,6.35,,5.98,,,,,9.65,6.15,,,5.19,9.24,,3.33,,4.06,,4.8,9.65,6.15,,,,,"0 days 00:01:44.536115",0.04792,0.20956,,,,,,,,,"0 days 00:04:32.110523",0.00196,0.04763,0.00372,,,,,1,"yes_run",,,,,0.01094,0.0002,0.00031,0.00027,0.00385,0.00298,0.155,0.196
"Methavert_20210517_2",,,11.9104216241232,3.38342271602408,12.8078151506141,0.264168609262124,13.6680073665524,,,238.208432482465,8.1108,2.326036,"SNAC111912","03/05/21",1.84,"True",,,,,"Noise:59.3796. Treshold: 300. s: [0.0955]","False",,"too many pics in important section(s) of the signal",,,"Noise:68.6241. Treshold: 100. s: [0.014]","False",,,"Shift in pH 3.2-3.6. Derivative value 0.05 higher than 0.05",,"Noise:0.0131. Treshold: 100. s: 0.2",,6.2,,5.73,,,,,9.24,5.49,9.97,9.01,,,,3.31,,8.74,,,,,,,,,"0 days 00:01:55.050555",0,0.12946,,,,,,,,,,,,,,,,,,"no_run",,,,,0.01287,,,,,,0.154,
"Biowatt_20210518_1",0.034436275952301,,24.529995739237,6.88245221630021,26.1516914089466,0.263174266959486,27.9014673961415,0.573937932538346,,490.59991478474,8.0728,2.22474512,"SNAC111904","18/05/21",2.08,"True",,,,,"Noise:40.7365. Treshold: 300. s: [0.0624]","True",,,,,"Noise:38.9617. Treshold: 100. s: [0.0279]","False",,"too many pics in important section(s) of the signal",,,"Noise:0.004. Treshold: 100. s: 0.05",,6.56,,,,,,,,5.86,9.74,,5.05,9.11,5.54,,9.39,9.43,,4.79,9.21,5.86,9.74,,,,"0 days 00:04:11.720130",0,0.23586,,,,,,,,,"0 days 00:14:30.592141",0.0002,,0.01461,0.11877,,,,6.90416,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00487,0.00099,0.00273,0.00226,0.00376,0.00335,0.15,0.503
"Biowatt_20210525_1",,,22.2108529230564,6.55637159120206,25.7020096503089,0.255091787778675,27.3688837836654,,,444.217058461127,8.1833,2.82027328,"SNAC111904","25/05/21",1.99,"True",,,,,"Noise:26.7824. Treshold: 300. s: [0.055]","False",,"too many pics in important section(s) of the signal",,,"Noise:604.2679. Treshold: 100. s: [0.0001]","True",,,,,"Noise:0.0087. Treshold: 100. s: 0.2",,6.43,,,,,,,9.52,5.78,8.68,,,9.61,,7.25,,5.28,,,,,,,,,"0 days 00:03:53.944572",0,0.22322,,,,,,,,,,,,,,,,,,"no_run",,,,,0.0054,,,,,,0.151,
"Biowatt_20210528_1",0.491288228961434,,22.6514157098732,7.24431056039332,24.543582614511,0.295161088508336,26.3853564857974,8.18813714935723,,453.028314197465,8.0587,3.03967264,"SNAC111904","25/05/21",2,"True",,,,,"Noise:28.9755. Treshold: 300. s: [0.0772]","True",,,,,"Noise:28.4229. Treshold: 100. s: [0.0251]","False",,"too many pics in important section(s) of the signal",,,"Noise:0.0041. Treshold: 100. s: 0.05",,6.4,,7.73,,,,,,5.94,9.87,,4.91,9.29,5.57,9.4,,,9.51,4.79,9.19,5.94,9.87,,,,"0 days 00:04:13.733044",0,0.22651,,,,,,,,,"0 days 00:15:44.405410",0.00307,,0.01739,0.11372,,,,3.49186,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00433,0.00095,0.00106,0.00102,0.00376,0.00314,0.154,0.634
"Methavert_20210531_1",,,12.6835218049119,3.56911849898454,13.4337648079462,0.265682669751176,14.3411678161626,,,253.670436098239,7.6779,2.19864896,"SNAC111912","25/05/21",1.74,"True",,,,,"Noise:35.4512. Treshold: 300. s: [0.0326]","False",,"too many pics in important section(s) of the signal",,,"Noise:101.3487. Treshold: 100. s: [0.0879]","True",,,,,"Noise:0.0058. Treshold: 100. s: 0.05",,6.41,,,,,,,,5.86,8.83,10.47,4.93,,,,,8.48,,,,,,,,,"0 days 00:02:21.919222",0.02333,0.14578,,,,,,,,,,,,,,,,,,"no_run",,,,,0.00347,,,,,,0.157,
"Methavert_20210531_2",0.095861626900589,1.54141711719058,11.9898358822828,2.85183814467315,13.209625024191,0.215890923432764,13.9346686202944,1.59769378167648,110.10122265647,239.796717645656,7.7435,2.24269376,"SNAC111912","25/05/21",1.76,"True",,,,,"Noise:51.2336. Treshold: 300. s: [0.0433]","True",,,,,"Noise:39.6473. Treshold: 100. s: [0.0452]","True",,,,,"Noise:0.0102. Treshold: 100. s: 0.2",,6.44,,2.66,,,,,9.22,5.59,,,4.56,9.26,,,,,,4.8,9.22,5.59,,,,,"0 days 00:03:12.643404",0.01276,0.13624,,,,,,,,,"0 days 00:04:50.746558",0.00073,0.05062,0.00225,,,,,8.14111,"yes_run",,,,,0.00501,0.00032,0.00059,0.00048,0.00264,0.00234,0.153,0.018
"Biowatt_20210601_1",0.693434800818374,,21.8401771732929,6.30127270931895,24.4237703175644,0.257997542041548,26.0257888029845,11.5572466803062,,436.803543465859,8.2862,2.61689792,"SNAC111904","01/06/21",2.01,"True",,,,,"Noise:25.3987. Treshold: 300. s: [0.0444]","True",,,,,"Noise:26.8424. Treshold: 100. s: [0.0199]","True",,,,,"Noise:0.0041. Treshold: 100. s: 0.05",,6.49,,,,,,,,5.87,10.07,,,,5.53,,,10.68,9.94,4.79,9.16,5.87,10.07,,,,"0 days 00:03:50.342479",0,0.21731,,,,,,,,,"0 days 00:12:29.015147",0.00437,,0.01592,0.10184,,,,8.43344,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00374,0.0003,0.00136,0.00109,0.00158,0.00185,0.153,0.831
"Biowatt_20210610_1",0.392366352182055,,22.1432899706536,7.00263164686521,25.1707631565619,0.278204979456082,26.9510932362734,6.53943920303425,,442.865799413071,8.0656,2.13956288,"SNAC111904","08/06/21",1.99,"True",,,,,"Noise:15.0. Treshold: 300. s: [0.01]","True",,,,,"Noise:35.3118. Treshold: 100. s: [0.0436]","True",,,,,"Noise:0.0095. Treshold: 100. s: 0.2",,6.45,,,,,,,,5.91,9.82,,,9.55,,9.84,,10.17,,4.79,9.22,5.91,9.82,,,,"0 days 00:03:26.792198",0,0.22254,,,,,,,,,"0 days 00:11:29.104128",0.00243,,0.01698,0.10885,,,,1,"yes_run","Probe loss of calibration","Probe loss of calibration",,,0.00594,0.00077,0.00177,0.00148,0.00229,0.00202,0.154,0.583
